"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal_caption","Descripcio_dia_setmana","Dia_setmana","Descripcio_tipus_dia","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_tipus_accident","Coordenada_UTM_X","Coordenada_UTM_Y","Longitud","Latitud"
"2017S006157    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",144601,"Diagonal                                          ","0240 0252","Divendres","Dv","Laboral",2017,7,"Juliol",14,18,"Tarda","Atropellament","432435.03","4584177.22","2.190542","41.404454"
"2017S003349    ",1,"Ciutat Vella",1,"el Raval",308709,"Aldana / Sant Pau                                 ","0030X0030X","Dimecres","Dc","Laboral",2017,4,"Abril",12,23,"Nit","Caiguda (dues rodes)","430394.95","4581074.59","2.166484","41.376332"
"2017S002251    ",1,"Ciutat Vella",1,"el Raval",34308,"PL DRASSANES                                      ","0039 0039","Dilluns","Dl","Laboral",2017,3,"Març",20,23,"Nit","Caiguda (dues rodes)","431078.83","4581395.62","2.174626","41.379282"
"2017S003396    ",1,"Ciutat Vella",1,"el Raval",701180,"Pere Coromines / Sant Oleguer                     ","9999 9999","Divendres","Dv","Laboral",2017,4,"Abril",14,15,"Tarda","Atropellament","430839.83","4581169.15","2.171794","41.377226"
"2017S001605    ",1,"Ciutat Vella",1,"el Raval",76501,"RBLA RAVAL / Sant Rafael                          ","0053 0053","Dilluns","Dl","Laboral",2017,2,"Febrer",27,11,"Matí","Atropellament","430280.69","4581249.83","2.1651","41.377898"
"2017S001254    ",1,"Ciutat Vella",1,"el Raval",297205,"AV PARAL·LEL                                      ","0007 0007","Divendres","Dv","Laboral",2017,2,"Febrer",10,12,"Matí","Abast","430612.74","4581256.81","2.169069","41.37799"
"2017S000347    ",1,"Ciutat Vella",1,"el Raval",317801,"PL PORTAL PAU / Rambla                            ","0002B0002B","Divendres","Dv","Laboral",2017,1,"Gener",13,14,"Tarda","Col.lisió fronto-lateral","431142.05","4581196.3","2.175414","41.377495"
"2017S009657    ",1,"Ciutat Vella",1,"el Raval",701265,"Litoral (Besòs)                                   ",1110000,"Dimarts","Dm","Laboral",2017,11,"Novembre",21,9,"Matí","Caiguda (dues rodes)","431264.96","4580708.9","2.176928","41.37311"
"2017S008950    ",1,"Ciutat Vella",1,"el Raval",701266,"Litoral (Llobregat)                               ","0021S0000","Diumenge","Dg","Laboral",2017,10,"Octubre",29,21,"Tarda","Abast","431323.44","4580839.66","2.177619","41.374295"
"2017S007264    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",62609,"Icària / Rosa Sensat                              ","0145 0147","Dimecres","Dc","Laboral",2017,8,"Agost",30,20,"Tarda","Caiguda interior vehicle","432913.63","4582680.04","2.196426","41.391011"
"2017S010227    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",701265,"Voluntaris Olímpics / Litoral                     ",870000,"Diumenge","Dg","Laboral",2017,12,"Desembre",10,7,"Matí","Xoc contra element estàtic","432912.53","4582333.35","2.196453","41.387885"
"2017S008871    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",701266,"Litoral (Llobregat)                               ",840000,"Dijous","Dj","Laboral",2017,10,"Octubre",26,19,"Tarda","Abast","433114.82","4582556.54","2.198844","41.389911"
