"Codi_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Dia_setmana","ID_Dia_setmana","Tipus_dia","Any","Mes","Nom_mes","Dia_de_mes","Hora_de_dia","Torn","Tipus_accident","Coordenada_UTM_X","Coordenada_UTM_Y","Longitud","Latitud"
"2018S007289    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",44403,"Meridiana / Castillejos                           ","0000X0000X","Divendres","Dv","Laboral","2018",9,"Setembre","28","09","Matí","Col.lisió lateral","432154.31","4583704.20","2.186951","41.399893"
"2018S007290    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",242906,"Pallars                                           ","0095B0095B","Divendres","Dv","Laboral","2018",9,"Setembre","28","08","Matí","Caiguda (dues rodes)","432436.82","4583241.47","2.190669","41.396028"
"2018S007291    ",3,"Sants-Montjuïc",18,"Sants",30602,"Mig (Ascendent)                                   ","0112 0114","Divendres","Dv","Laboral","2018",9,"Setembre","28","09","Matí","Abast","427540.32","4580521.15","2.132166","41.371355"
"2018S007292    ",9,"Sant Andreu",58,"Baró de Viver",80101,"Ciutat d'Asunción                                 ","0093 0093","Divendres","Dv","Laboral","2018",9,"Setembre","28","09","Matí","Abast","433078.89","4588921.60","2.197719","41.447241"
"2018S007293    ",2,"Eixample",10,"Sant Antoni",323203,"Vilamarí / Sepúlveda                              ","0015 0015","Divendres","Dv","Laboral","2018",9,"Setembre","28","10","Matí","Col.lisió fronto-lateral","429278.37","4581082.40","2.153041","41.376085"
"2018S007294    ",9,"Sant Andreu",61,"la Sagrera",209900,"Meridiana                                         ","0318B0318B","Divendres","Dv","Laboral","2018",9,"Setembre","28","12","Matí","Abast multiple","432170.19","4586404.73","2.18713","41.424375"
"2018S007295    ",2,"Eixample",10,"Sant Antoni",349706,"Comte d'Urgell / Floridablanca                    ","0023 0023","Divendres","Dv","Laboral","2018",9,"Setembre","28","12","Matí","Col.lisió fronto-lateral","429905.15","4581532.29","2.160946","41.380329"
"2018S007296    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes                                   ","0634 0634","Divendres","Dv","Laboral","2018",9,"Setembre","28","12","Matí","Caiguda (dues rodes)","430616.90","4582547.04","2.16898","41.389618"
"2018S007297    ",2,"Eixample",7,"la Dreta de l'Eixample",350308,"València                                          ","0285 0285","Divendres","Dv","Laboral","2018",9,"Setembre","28","12","Matí","Abast","430418.36","4583175.30","2.166828","41.395203"
"2018S007298    ",2,"Eixample",7,"la Dreta de l'Eixample",350308,"Girona / València                                 ","0323 0323","Divendres","Dv","Laboral","2018",9,"Setembre","28","14","Tarda","Abast","430606.77","4583360.60","2.168636","41.396713"
"2018S007299    ",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",370305,"Número 4 Zona Franca                              ","0071 0071","Divendres","Dv","Laboral","2018",9,"Setembre","28","15","Tarda","Abast multiple","427132.87","4576088.39","2.128492","41.33135"
"2018S007300    ",9,"Sant Andreu",59,"el Bon Pastor",318906,"Litoral (Besòs)                                   ","0138U0138U","Divendres","Dv","Laboral","2018",9,"Setembre","28","12","Matí","Abast","434034.38","4587644.65","2.207524","41.441601"
"2018S007301    ",7,"Horta-Guinardó",43,"Horta",262903,"Congrés / Porrera                                 ","0024 0024","Divendres","Dv","Laboral","2018",9,"Setembre","28","14","Tarda","Col.lisió fronto-lateral","429873.76","4587887.36","2.159533","41.437787"
"2018S007302    ",2,"Eixample",7,"la Dreta de l'Eixample",18505,"Aragó                                             ","0366 0366","Divendres","Dv","Laboral","2018",9,"Setembre","28","16","Tarda","Col.lisió lateral","430853.12","4583376.13","2.171765","41.397147"
"2018S007303    ",2,"Eixample",6,"la Sagrada Família",90502,"Còrsega                                           ","0601 0601","Divendres","Dv","Laboral","2018",9,"Setembre","28","16","Tarda","Xoc contra element estàtic","431121.73","4584616.12","2.174968","41.408157"
"2018S007304    ",9,"Sant Andreu",57,"la Trinitat Vella",209900,"Meridiana                                         ","0724 0724","Divendres","Dv","Laboral","2018",9,"Setembre","28","17","Tarda","Abast","432380.90","4589336.10","2.189318","41.450916"
"2018S007305    ",10,"Sant Martí",72,"Sant Martí de Provençals",158504,"Fluvià / Huelva                                   ","0038 0040","Divendres","Dv","Laboral","2018",9,"Setembre","28","16","Tarda","Altres","432776.19","4585451.57","2.194699","41.416264"
"2018S007306    ",4,"Les Corts",19,"les Corts",125006,"Fígols                                            ","0001 0001","Divendres","Dv","Laboral","2018",9,"Setembre","28","12","Matí","Xoc contra element estàtic","427278.91","4581674.54","2.130486","41.381944"
"2018S007307    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",249304,"Pere IV                                           ","0069 0073","Divendres","Dv","Laboral","2018",9,"Setembre","28","15","Tarda","Caiguda (dues rodes)","432600.78","4583321.07","2.192749","41.396916"
"2018S007308    ",2,"Eixample",7,"la Dreta de l'Eixample",145003,"Corts Catalanes / Girona                          ","0045 0045","Divendres","Dv","Laboral","2018",9,"Setembre","28","14","Tarda","Abast","430942.18","4582963.71","2.173277","41.393182"
"2018S007309    ",10,"Sant Martí",65,"el Clot",161101,"Independència                                     ","0251 0251","Divendres","Dv","Laboral","2018",9,"Setembre","28","17","Tarda","Col.lisió lateral","431987.63","4584385.47","2.185167","41.406294"
"2018S007310    ",4,"Les Corts",19,"les Corts",231502,"Numància                                          ","0165 0165","Divendres","Dv","Laboral","2018",9,"Setembre","28","16","Tarda","Caiguda (dues rodes)","427617.50","4582486.60","2.133273","41.389134"
"2018S007310    ",4,"Les Corts",19,"les Corts",231502,"Numància                                          ","0165 0165","Divendres","Dv","Laboral","2018",9,"Setembre","28","16","Tarda","Col.lisió lateral","427617.50","4582486.60","2.133273","41.389134"
"2018S007311    ",6,"Gràcia",31,"la Vila de Gràcia",340406,"Providència / Torrent de les Flors                ","0102 0104","Divendres","Dv","Laboral","2018",9,"Setembre","28","20","Tarda","Col.lisió fronto-lateral","429772.58","4584580.08","2.158676","41.407734"
"2018S007312    ",7,"Horta-Guinardó",41,"la Vall d'Hebron",701268,"Dalt (Besòs)                                      ","001150000","Divendres","Dv","Laboral","2018",9,"Setembre","28","14","Tarda","Col.lisió lateral","428733.32","4587304.22","2.145629","41.432369"
"2018S007313    ",10,"Sant Martí",73,"la Verneda i la Pau",343200,"Santander / Trajana                               ","0042 0042","Divendres","Dv","Laboral","2018",9,"Setembre","28","20","Tarda","Col.lisió frontal","433467.60","4586866.04","2.203004","41.428573"
"2018S007314    ",9,"Sant Andreu",59,"el Bon Pastor",318906,"Santander                                         ","0075 0075","Divendres","Dv","Laboral","2018",9,"Setembre","28","15","Tarda","Atropellament","433626.59","4587083.10","2.204478","41.430728"
"2018S007315    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",169409,"Corts Catalanes                                   ","0455 0455","Divendres","Dv","Laboral","2018",9,"Setembre","28","14","Tarda","Altres","429376.68","4581406.37","2.154439","41.379355"
"2018S007316    ",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",701268,"Tibidabo / Isaac Newton                           ","000920000","Divendres","Dv","Laboral","2018",9,"Setembre","28","22","Nit","Altres","427706.40","4585327.86","2.133931","41.414472"
"2018S007317    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",223606,"Muntaner / València                               ","0085 0085","Divendres","Dv","Laboral","2018",9,"Setembre","28","17","Tarda","Col.lisió lateral","429616.29","4582408.77","2.157335","41.38818"
"2018S007318    ",2,"Eixample",7,"la Dreta de l'Eixample",49509,"Bruc / Diagonal                                   ","0152 0152","Divendres","Dv","Laboral","2018",9,"Setembre","28","16","Tarda","Col.lisió fronto-lateral","430267.41","4583493.31","2.16483","41.397857"
"2018S007319    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",700662,"Salvador Espriu                                   ","0083 0083","Dissabte","Ds","Laboral","2018",9,"Setembre","29","00","Nit","Abast","433262.90","4582769.73","2.200601","41.391848"
"2018S007320    ",1,"Ciutat Vella",2,"el Barri Gòtic",283109,"Ripoll                                            ","0012 0014","Divendres","Dv","Laboral","2018",9,"Setembre","28","21","Tarda","Atropellament","431155.20","4582062.73","2.175406","41.385342"
"2018S007321    ",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",143904,"General Mitre                                     ","0047 0047","Dissabte","Ds","Laboral","2018",9,"Setembre","29","01","Nit","Caiguda (dues rodes)","427664.11","4583184.35","2.133792","41.3963"
"2018S007322    ",3,"Sants-Montjuïc",13,"la Marina de Port",169409,"Corts Catalanes                                   ","0166 0168","Dissabte","Ds","Laboral","2018",9,"Setembre","29","04","Nit","Xoc contra element estàtic","428062.52","4580047.38","2.138251","41.367177"
"2018S007323    ",1,"Ciutat Vella",3,"la Barceloneta",701266,"Doctor Aiguader / Pau Vila                        ","000980000","Divendres","Dv","Laboral","2018",9,"Setembre","28","18","Tarda","Xoc contra element estàtic","432018.39","4581701.28","2.185664","41.382182"
"2018S007324    ",2,"Eixample",7,"la Dreta de l'Eixample",74506,"Catalunya                                         ","0042 0042","Dissabte","Ds","Laboral","2018",9,"Setembre","29","06","Matí","Abast","430281.59","4582611.34","2.164962","41.390168"
"2018S007325    ",2,"Eixample",5,"el Fort Pienc",169409,"Corts Catalanes / Sardenya                        ","0760 0760","Divendres","Dv","Laboral","2018",9,"Setembre","28","13","Matí","Col.lisió lateral","431551.41","4583461.90","2.180078","41.398285"
"2018S007326    ",7,"Horta-Guinardó",33,"el Baix Guinardó",152905,"Guinardó                                          ","0049 0051","Dissabte","Ds","Laboral","2018",9,"Setembre","29","09","Matí","Abast","430431.25","4585119.27","2.166493","41.411838"
"2018S007327    ",4,"Les Corts",19,"les Corts",320704,"Sarrià                                            ","0042 0042","Dissabte","Ds","Laboral","2018",9,"Setembre","29","14","Tarda","Col.lisió lateral","428376.19","4582704.99","2.142163","41.390844"
"2018S007328    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",134801,"Freser                                            ","0017 0017","Dissabte","Ds","Laboral","2018",9,"Setembre","29","14","Tarda","Col.lisió lateral","431519.27","4584849.99","2.179512","41.410438"
"2018S007329    ",4,"Les Corts",19,"les Corts",144601,"Diagonal / Entença                                ","0632 0632","Dissabte","Ds","Laboral","2018",9,"Setembre","29","15","Tarda","Col.lisió lateral","427949.64","4582755.79","2.137125","41.390772"
"2018S007330    ",2,"Eixample",7,"la Dreta de l'Eixample",191204,"Mallorca                                          ","0247 0247","Dissabte","Ds","Laboral","2018",9,"Setembre","29","19","Tarda","Col.lisió lateral","429931.64","4582885.47","2.160745","41.392607"
"2018S007331    ",2,"Eixample",6,"la Sagrada Família",76807,"Sardenya                                          ","0315 0315","Dissabte","Ds","Laboral","2018",9,"Setembre","29","14","Tarda","Altres","430939.59","4584113.85","2.172581","41.403818"
"2018S007332    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",66508,"Diagonal / Carles III                             ","0107B0107B","Dissabte","Ds","Laboral","2018",9,"Setembre","29","15","Tarda","Col.lisió lateral","427098.91","4582376.24","2.128211","41.388399"
"2018S007333    ",4,"Les Corts",19,"les Corts",172403,"Diagonal / Carles III                             ","0215 0215","Dissabte","Ds","Laboral","2018",9,"Setembre","29","19","Tarda","Atropellament","427232.95","4582354.43","2.128211","41.388399"
"2018S007334    ",6,"Gràcia",31,"la Vila de Gràcia",340406,"Torrent de les Flors / Encarnació                 ","0057 0057","Dissabte","Ds","Laboral","2018",9,"Setembre","29","19","Tarda","Col.lisió fronto-lateral","429888.10","4584405.24","2.160023","41.406373"
"2018S007335    ",2,"Eixample",7,"la Dreta de l'Eixample",18505,"Aragó / Sant Joan                                 ","0357 0357","Dissabte","Ds","Laboral","2018",9,"Setembre","29","19","Tarda","Col.lisió lateral","430898.18","4583464.78","2.172037","41.397542"
"2018S007336    ",8,"Nou Barris",48,"la Guineueta",351901,"Valldaura                                         ","0131 0131","Dissabte","Ds","Laboral","2018",9,"Setembre","29","20","Tarda","Caiguda interior vehicle","430345.13","4588090.75","2.165091","41.439525"
"2018S007337    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",330107,"Tànger / Àlaba                                    ","0034 0036","Dissabte","Ds","Laboral","2018",9,"Setembre","29","21","Tarda","Caiguda (dues rodes)","432304.41","4583636.02","2.189312","41.399922"
