Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal_caption,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_tipus_accident,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2019S004541    ,10,Sant Martí,67,la Vila Olímpica del Poblenou,700654,Voluntaris Olímpics                               ,0,Diumenge,Dg,Laboral,2019,6,Juny,9,20,Tarda,Col.lisió lateral,432888.89 ,4582323.45,2.1960858514749746,41.387817100437374
2019S007685    ,10,Sant Martí,67,la Vila Olímpica del Poblenou,700654,Litoral                                           ,60,Dissabte,Ds,Laboral,2019,10,Octubre,5,15,Tarda,Abast,433592.77 ,4582860.32,2.204444945518217,41.392711015879506
2019S003154    ,10,Sant Martí,67,la Vila Olímpica del Poblenou,132908,Ramon Trias Fargas / Moscou                       ,,Dijous,Dj,Laboral,2019,4,Abril,25,8,Matí,Abast,432721.4  ,4582307.05,2.194084584529849,41.38765537881558
2019S002036    ,10,Sant Martí,67,la Vila Olímpica del Poblenou,132908,Ramon Trias Fargas                                ,19,Divendres,Dv,Laboral,2019,3,Març,15,13,Matí,Atropellament,432628.65 ,4582382.71,2.1929669198319988,41.38832904679604
2019S006433    ,10,Sant Martí,67,la Vila Olímpica del Poblenou,700693,Marina                                            ,18,Dijous,Dj,Laboral,2019,8,Agost,15,2,Nit,Atropellament,432967.31 ,4582289.9 ,2.1970274314495635,41.38752147606287
2019S006466    ,1,Ciutat Vella,2,el Barri Gòtic,701266,Litoral (Llobregat)                               ,K110      ,Dissabte,Ds,Laboral,2019,8,Agost,17,6,Matí,Abast,431302.28 ,4580803.95,2.1772834106876378,41.37399740375772
2019S009268    ,1,Ciutat Vella,2,el Barri Gòtic,701266,Colom / Portal de la Pau                          ,,Dissabte,Ds,Laboral,2019,11,Novembre,30,11,Matí,Abast,431358.53 ,4581040.46,2.177929163823318,41.376132368605425
2019S005548    ,1,Ciutat Vella,2,el Barri Gòtic,34308,Rambla                                            ,84,Divendres,Dv,Laboral,2019,7,Juliol,12,20,Tarda,Caiguda interior vehicle,430959.69 ,4581647.01,2.1730909291629517,41.38156115971677
2019S002354    ,1,Ciutat Vella,2,el Barri Gòtic,34308,Rambla                                            ,116,Dilluns,Dl,Laboral,2019,3,Març,25,14,Tarda,Col.lisió lateral,430856.54 ,4581805.25,2.1718393523344073,41.38297749377103
2019S007925    ,1,Ciutat Vella,2,el Barri Gòtic,61402,Canuda                                            ,13,Dissabte,Ds,Laboral,2019,10,Octubre,12,19,Tarda,Atropellament,430829.66 ,4582000.29,2.171495608810805,41.384731827316074
2019S000830    ,1,Ciutat Vella,2,el Barri Gòtic,34308,Rambla                                            ,132,Dijous,Dj,Laboral,2019,1,Gener,31,16,Tarda,Altres,430780.51 ,4581980.07,2.170910145724257,41.38454548013332
2019S005795    ,1,Ciutat Vella,2,el Barri Gòtic,269108,B-10 (Besòs)                                      ,K110      ,Dilluns,Dl,Laboral,2019,7,Juliol,22,2,Nit,Caiguda (dues rodes),431320.52 ,4580791.56,2.1775029100508214,41.373887370723
2019S007328    ,1,Ciutat Vella,2,el Barri Gòtic,82800,Colom / Reial                                     ,,Dilluns,Dl,Laboral,2019,9,Setembre,23,8,Matí,Xoc contra element estàtic,431114.28 ,4581465.39,2.1749602325373742,41.3799386487123
2019S009984    ,1,Ciutat Vella,2,el Barri Gòtic,701265,Litoral (Besòs)                                   ,K102      ,Dissabte,Ds,Laboral,2019,12,Desembre,28,1,Nit,Xoc contra element estàtic,431693.8  ,4581490.57,2.1818872785894348,41.38021491551531
2019S004962    ,1,Ciutat Vella,2,el Barri Gòtic,701265,Litoral (Besòs)                                   ,K104      ,Dimarts,Dm,Laboral,2019,6,Juny,25,16,Tarda,Caiguda (dues rodes),431585.19 ,4581321.69,2.1806076096609393,41.37868463450537
2019S003113    ,1,Ciutat Vella,2,el Barri Gòtic,701266,B-10 (Llobregat)                                  ,K104      ,Dimecres,Dc,Laboral,2019,4,Abril,24,4,Nit,Xoc contra element estàtic,431572.69 ,4581329.72,2.1804572297839795,41.37875589324853
2019S004537    ,1,Ciutat Vella,2,el Barri Gòtic,701266,Litoral (Llobregat)                               ,K105      ,Diumenge,Dg,Laboral,2019,6,Juny,9,9,Matí,Xoc contra element estàtic,431520.59 ,4581243.79,2.17984395393839,41.37797751470259
2019S006474    ,1,Ciutat Vella,1,el Raval,250904,Pelai                                             ,50,Dissabte,Ds,Laboral,2019,8,Agost,17,15,Tarda,Col.lisió lateral,430580.93 ,4582087.08,2.1685111311575085,41.38549205319837
2019S006829    ,1,Ciutat Vella,1,el Raval,250904,Pelai                                             ,56,Dimarts,Dm,Laboral,2019,9,Setembre,3,14,Tarda,Col.lisió lateral,430626.56 ,4582081.06,2.1690575090139865,41.38544177557211
2019S001560    ,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",198203,Marquès de l'Argentera                            ,6-20      ,Dimecres,Dc,Laboral,2019,2,Febrer,27,9,Matí,Col.lisió lateral,431966.93 ,4581961.41,2.1851004359055666,41.38447877491036
2019S001990    ,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",198203,Marquès de l'Argentera                            ,22X       ,Dijous,Dj,Laboral,2019,3,Març,14,12,Matí,Caiguda (dues rodes),432015.1  ,4582037.47,2.1856679451670504,41.385167897635
